species_name,Alistipes_onderdonkii_DSM_19147,Alistipes_shahii_WAL_8301,Bacteroides_dorei_DSM_17855,Bacteroides_xylanisolvens_XB1A,Bilophila_wadsworthia_3_1_6,Escherichia_coli_UTI89_UPEC,Faecalibacterium_prausnitzii_M21_2,Klebsiella_pneumoniae_pneumoniae_MGH78578,Parabacteroides_merdae_ATCC_43184,Ruminococcus_torques_ATCC_27756
Alistipes_onderdonkii_DSM_19147,1.0,0.40699029126213593,0.39409282700421944,0.3317174515235457,0.43812907045589106,0.29639479905437355,0.2816957210776545,0.42943722943722945,0.3347826086956522,0.37030075187969924
Alistipes_shahii_WAL_8301,0.40699029126213593,1.0,0.60515172900494,0.7800699300699301,0.2458460495083079,0.582911748173131,0.35347432024169184,0.2613037447988904,0.695562435500516,0.19540229885057472
Bacteroides_dorei_DSM_17855,0.39409282700421944,0.60515172900494,1.0,0.7146963708228531,0.3350576999602069,0.4890695067264574,0.3243157224697645,0.36211340206185566,0.6266760762173607,0.26236820762368207
Bacteroides_xylanisolvens_XB1A,0.3317174515235457,0.7800699300699301,0.7146963708228531,1.0,0.28656322218553976,0.6446629213483146,0.3479507022069361,0.32023249377248825,0.7938718662952646,0.20866402116402116
Bilophila_wadsworthia_3_1_6,0.43812907045589106,0.2458460495083079,0.3350576999602069,0.28656322218553976,1.0,0.3315331533153315,0.2561162079510703,0.48956019546868057,0.282183316168898,0.3629719853836784
Escherichia_coli_UTI89_UPEC,0.29639479905437355,0.582911748173131,0.4890695067264574,0.6446629213483146,0.3315331533153315,1.0,0.35015447991761073,0.5367476851851852,0.6768777614138439,0.22189866045428072
Faecalibacterium_prausnitzii_M21_2,0.2816957210776545,0.35347432024169184,0.3243157224697645,0.3479507022069361,0.2561162079510703,0.35015447991761073,1.0,0.2726438188494492,0.37564374431990305,0.3613595706618962
Klebsiella_pneumoniae_pneumoniae_MGH78578,0.42943722943722945,0.2613037447988904,0.36211340206185566,0.32023249377248825,0.48956019546868057,0.5367476851851852,0.2726438188494492,1.0,0.35609181871689227,0.3329048843187661
Parabacteroides_merdae_ATCC_43184,0.3347826086956522,0.695562435500516,0.6266760762173607,0.7938718662952646,0.282183316168898,0.6768777614138439,0.37564374431990305,0.35609181871689227,1.0,0.24883804075795496
Ruminococcus_torques_ATCC_27756,0.37030075187969924,0.19540229885057472,0.26236820762368207,0.20866402116402116,0.3629719853836784,0.22189866045428072,0.3613595706618962,0.3329048843187661,0.24883804075795496,1.0
