taxon_id,species_name,paper_taxon,diet_name,21_40,41_60,61_70,71_80,81_90,91_100
Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,high_fiber,,,,0.2779895085454671,0.3570115403272018,0.027448648701895274
Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,western,,,,0.33069449496027614,0.40796956438158094,0.031572627759787246
Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,high_fiber,0.020472317137430224,,,,0.13678460804805986,
Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,western,0.02272314254623133,,,,0.19401000006741348,
Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,high_fiber,0.03050960493604938,0.020069126076312546,0.025392856517683107,0.22608367382295952,0.48811278700306343,0.10253682867489608
Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,western,0.03653538626894905,0.023902314349691145,0.03052284815325051,0.2689494543064408,0.5577825917086925,0.11794304237719705
Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,high_fiber,,,,0.01376393279575505,0.12869857973393273,0.03786673755428067
Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,western,,,,0.016422334745494135,0.14706926524483055,0.04355184097685706
Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,high_fiber,0.03748331175618176,0.10371260329631331,0.034029497921293686,0.9034487840843749,0.9374639686320118,0.7982126102983604
Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,western,0.044886463137961595,0.12351612684469503,0.04088030171451361,1.074741161226784,1.0712676356776056,0.9181426752530082
Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,high_fiber,0.6047510475102749,0.6578570717161996,0.579165356067747,0.47724916445034327,0.8980705138209796,0.12629495457546913
Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,western,0.7241859628725356,0.7834762843581898,0.6957106839644228,0.567735274581238,1.026287353994707,0.14527233974330794
Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,high_fiber,,,,0.027291805160428492,0.12437189775042638,
Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,western,,,,0.032677103884216734,0.14212392807841878,
Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,high_fiber,0.027679067288950837,0.027902609454921047,0.019237667818084444,,0.4978066723709309,0.13480355602718974
Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,western,0.03312676904638151,0.03324032461868582,0.023213382419131127,,0.5688300862361187,0.1550611071761169
Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,high_fiber,0.07315474515343205,0.12572715384285935,0.0738834621019139,0.08742580912516529,0.22169815146104277,0.05191365561444837
Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,western,0.08760270955960887,0.1497342865279333,0.0887496202883365,0.10400159041457123,0.2533419925943485,0.05971358514335276
