diet_name,taxon_id,abundance,growth_rate,is_growing,reactions,metabolites
western,Alistipes_onderdonkii_DSM_19147,0.1,0.852556689494976,True,1189,1105
western,Alistipes_shahii_WAL_8301,0.1,0.11779605264004245,True,2434,2022
western,Bacteroides_dorei_DSM_17855,0.1,0.8525463117647593,True,2115,1834
western,Bacteroides_xylanisolvens_XB1A,0.1,0.8524847845662832,True,2657,2163
western,Bilophila_wadsworthia_3_1_6,0.1,0.8552661385107309,True,1240,1154
western,Escherichia_coli_UTI89_UPEC,0.1,0.8525898870641233,True,3198,2562
western,Faecalibacterium_prausnitzii_M21_2,0.1,0.852527197628363,True,2046,1734
western,Klebsiella_pneumoniae_pneumoniae_MGH78578,0.1,0.852575390147701,True,2113,1667
western,Parabacteroides_merdae_ATCC_43184,0.1,0.8525714251897479,True,2495,2170
western,Ruminococcus_torques_ATCC_27756,0.1,0.8525392180042155,True,998,907
high_fiber,Alistipes_onderdonkii_DSM_19147,0.1,0.7644665154454109,True,1189,1105
high_fiber,Alistipes_shahii_WAL_8301,0.1,0.05889803489627916,True,2434,2022
high_fiber,Bacteroides_dorei_DSM_17855,0.1,0.7644172869305439,True,2115,1834
high_fiber,Bacteroides_xylanisolvens_XB1A,0.1,0.7644457313517018,True,2657,2163
high_fiber,Bilophila_wadsworthia_3_1_6,0.1,0.7795330072530264,True,1240,1154
high_fiber,Escherichia_coli_UTI89_UPEC,0.1,0.7645073775427935,True,3198,2562
high_fiber,Faecalibacterium_prausnitzii_M21_2,0.1,0.7644763193805822,True,2046,1734
high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578,0.1,0.7645055140354432,True,2113,1667
high_fiber,Parabacteroides_merdae_ATCC_43184,0.1,0.7645082118377285,True,2495,2170
high_fiber,Ruminococcus_torques_ATCC_27756,0.1,0.7644937275083123,True,998,907
