subject_id,diet_name,scenario,taxon_id,species_name,abundance_raw,abundance_normalized,growth_rate,reactions,metabolites
MBS1232,high_fiber,all_bounds_zero_all_taxa,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,0.0,0.0,0.0,,
MBS1232,high_fiber,all_bounds_zero_all_taxa,Alistipes_shahii_WAL_8301,Alistipes shahii,4.88176622484832,0.3143336652489562,0.0,2434,2022
MBS1232,high_fiber,all_bounds_zero_all_taxa,Bacteroides_dorei_DSM_17855,Bacteroides dorei,0.133140368640123,0.008572819373084045,0.0,2115,1834
MBS1232,high_fiber,all_bounds_zero_all_taxa,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,0.477949399160764,0.030774842448832596,0.0,2657,2163
MBS1232,high_fiber,all_bounds_zero_all_taxa,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,0.0,0.0,0.0,,
MBS1232,high_fiber,all_bounds_zero_all_taxa,Escherichia_coli_UTI89_UPEC,Escherichia coli,0.496180448268968,0.031948727519024285,0.0,3198,2562
MBS1232,high_fiber,all_bounds_zero_all_taxa,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,2.44595010772939,0.1574930930664438,0.0,2046,1734
MBS1232,high_fiber,all_bounds_zero_all_taxa,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,0.520045996156583,0.03348541420068151,0.0,2113,1667
MBS1232,high_fiber,all_bounds_zero_all_taxa,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,5.22650431743469,0.33653112067851737,0.0,2495,2170
MBS1232,high_fiber,all_bounds_zero_all_taxa,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,1.34898616011036,0.08686031746446025,0.0,998,907
MBS1255,high_fiber,all_bounds_zero_all_taxa,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,2.02653620005785,0.13904984462467793,0.0,1189,1105
MBS1255,high_fiber,all_bounds_zero_all_taxa,Alistipes_shahii_WAL_8301,Alistipes shahii,3.04005131446432,0.2085917157143527,0.0,2434,2022
MBS1255,high_fiber,all_bounds_zero_all_taxa,Bacteroides_dorei_DSM_17855,Bacteroides dorei,0.9834801825406,0.06748103812298864,0.0,2115,1834
