species_name,age_group,diet_name,median_abundance_input,normalized_weight_input,growth_rate_plotted,is_growing,row_in_05_csv,reason_if_missing
Alistipes onderdonkii,21_40,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes onderdonkii,41_60,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes onderdonkii,61_70,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes onderdonkii,71_80,western,2.32999720316183,0.13809566644752075,0.33069449496027614,True,True,
Alistipes onderdonkii,81_90,western,0.494620476895701,0.0935167846458735,0.40796956438158094,True,True,
Alistipes onderdonkii,91_100,western,0.1029047610133115,0.021459693149625217,0.031572627759787246,True,True,
Alistipes onderdonkii,21_40,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes onderdonkii,41_60,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes onderdonkii,61_70,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes onderdonkii,71_80,high_fiber,2.32999720316183,0.13809566644752075,0.2779895085454671,True,True,
Alistipes onderdonkii,81_90,high_fiber,0.494620476895701,0.0935167846458735,0.3570115403272018,True,True,
Alistipes onderdonkii,91_100,high_fiber,0.1029047610133115,0.021459693149625217,0.027448648701895274,True,True,
Alistipes shahii,21_40,western,0.198909349388292,0.020866201899815737,0.02272314254623133,True,True,
Alistipes shahii,41_60,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes shahii,61_70,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes shahii,71_80,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes shahii,81_90,western,0.227743557500775,0.04305896382404744,0.19401000006741348,True,True,
Alistipes shahii,91_100,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes shahii,21_40,high_fiber,0.198909349388292,0.020866201899815737,0.020472317137430224,True,True,
Alistipes shahii,41_60,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes shahii,61_70,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes shahii,71_80,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Alistipes shahii,81_90,high_fiber,0.227743557500775,0.04305896382404744,0.13678460804805986,True,True,
Alistipes shahii,91_100,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Bacteroides dorei,21_40,western,0.368117543859829,0.03861666139206421,0.03653538626894905,True,True,
Bacteroides dorei,41_60,western,0.1387340455642995,0.02145803963420446,0.023902314349691145,True,True,
Bacteroides dorei,61_70,western,0.263239371095264,0.03472141413116676,0.03052284815325051,True,True,
Bacteroides dorei,71_80,western,1.89494343772994,0.11231063992633336,0.2689494543064408,True,True,
Bacteroides dorei,81_90,western,0.676254329876683,0.12785789001261408,0.5577825917086925,True,True,
Bacteroides dorei,91_100,western,0.3844120975124675,0.08016505334047899,0.11794304237719705,True,True,
Bacteroides dorei,21_40,high_fiber,0.368117543859829,0.03861666139206421,0.03050960493604938,True,True,
Bacteroides dorei,41_60,high_fiber,0.1387340455642995,0.02145803963420446,0.020069126076312546,True,True,
Bacteroides dorei,61_70,high_fiber,0.263239371095264,0.03472141413116676,0.025392856517683107,True,True,
Bacteroides dorei,71_80,high_fiber,1.89494343772994,0.11231063992633336,0.22608367382295952,True,True,
Bacteroides dorei,81_90,high_fiber,0.676254329876683,0.12785789001261408,0.48811278700306343,True,True,
Bacteroides dorei,91_100,high_fiber,0.3844120975124675,0.08016505334047899,0.10253682867489608,True,True,
Bacteroides xylanisolvens,21_40,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Bacteroides xylanisolvens,41_60,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Bacteroides xylanisolvens,61_70,western,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Bacteroides xylanisolvens,71_80,western,0.115359973618099,0.006837223845823357,0.016422334745494135,True,True,
Bacteroides xylanisolvens,81_90,western,0.178305668362581,0.03371185296260619,0.14706926524483055,True,True,
Bacteroides xylanisolvens,91_100,western,0.1419470553660855,0.029601548282639865,0.04355184097685706,True,True,
Bacteroides xylanisolvens,21_40,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Bacteroides xylanisolvens,41_60,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Bacteroides xylanisolvens,61_70,high_fiber,,,,,False,zero median abundance -> dropped by MICOM Community(taxonomy=...) constructor
Bacteroides xylanisolvens,71_80,high_fiber,0.115359973618099,0.006837223845823357,0.01376393279575505,True,True,
Bacteroides xylanisolvens,81_90,high_fiber,0.178305668362581,0.03371185296260619,0.12869857973393273,True,True,
Bacteroides xylanisolvens,91_100,high_fiber,0.1419470553660855,0.029601548282639865,0.03786673755428067,True,True,
